minute,temperature
0, 94.1
1, 89.6
2, 87.0
3, 84.4
4, 81.8
5, 79.4
6, 77.9
7, 75.6
8, 74.2
9, 72.7
10, 71.0
11, 69.5
12, 68.1
13, 66.8
14, 65.7
15, 64.3
16, 63.3
17, 61.7
18, 61.3
19, 60.3
20, 59.0
21, 58.2
22, 57.2
23, 56.5
24, 55.7
25, 54.8
26, 54.1
27, 53.2
28, 52.8
29, 52.1
30, 51.4
31, 50.9
32, 50.3
33, 49.5
34, 49.2
35, 48.7
36, 48.2
37, 47.7
38, 47.1
39, 47.0
40, 46.5
41, 46.1
42, 45.5
43, 45.2
44, 44.8
45, 44.4
46, 44.1
47, 43.6
48, 43.2
49, 42.8
50, 42.2
51, 42.0
52, 41.8
53, 41.4
54, 41.1
55, 40.7
56, 40.5
57, 40.1
58, 39.8
59, 39.5
60, 39.2
61, 39
62, 38.6
63, 38.3
64, 37.9
65, 37.9
66, 37.8
67, 37.5
68, 37.1
73, 36.0